annual_inc,loan_amnt,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,total_acc,revol_bal,revol_util,pub_rec,pub_rec_bankruptcies,mort_acc,num_tl_90g_dpd_24m,mths_since_recent_inq,mths_since_recent_bc,num_rev_accts,percent_bc_gt_75,tot_cur_bal,tot_coll_amt,total_bc_limit,total_il_high_credit_limit,avg_cur_bal,bc_util,target,fico_mean,emp_length_num,grade_enc,sub_grade_enc,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,term_ 60 months,loan_to_income,fico_cat_enc
65000.0,6000.0,14.65,206.97,9.3,0.0,1.0,6.0,10.0,20574.0,91.0,0.0,0.0,0.0,0.0,1.0,23.0,13.0,100.0,79769.0,0.0,21100.0,31758.0,7376.0,97.2,0,687.0,7.0,3,12,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0923076923076923,3
45000.0,11700.0,18.75,427.4,13.48,0.0,2.0,4.0,7.0,7134.0,89.2,0.0,0.0,0.0,0.0,4.0,23.0,6.0,100.0,17557.0,0.0,7500.0,11614.0,4389.0,91.3,0,677.0,6.0,4,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.26,3
73340.0,18000.0,11.99,400.31,11.68,0.0,1.0,41.0,74.0,15110.0,29.4,0.0,0.0,0.0,0.0,6.0,11.0,20.0,22.2,203756.0,0.0,47500.0,148605.0,5362.0,31.8,0,702.0,6.0,2,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.2454322334333242,3
45000.0,10250.0,7.97,321.06,1.49,0.0,2.0,3.0,31.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,24.0,0.0,22311.0,0.0,2000.0,0.0,7437.0,0.0,0,717.0,5.0,1,5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.2277777777777777,3
60000.0,15500.0,16.99,385.14,18.26,0.0,0.0,11.0,17.0,12250.0,65.2,0.0,0.0,0.0,0.0,6.0,30.0,13.0,100.0,30448.0,0.0,6400.0,30760.0,2768.0,94.0,0,692.0,2.0,4,18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,0.2583333333333333,3
122000.0,35000.0,11.99,1162.34,18.76,0.0,0.0,19.0,32.0,52383.0,54.3,0.0,0.0,3.0,0.0,8.0,3.0,20.0,28.6,314278.0,0.0,73600.0,45088.0,18487.0,50.9,0,742.0,10.0,2,8,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.2868852459016393,4
120000.0,21000.0,8.18,659.81,6.67,0.0,0.0,8.0,14.0,20166.0,68.8,0.0,0.0,3.0,0.0,4.0,12.0,8.0,0.0,402111.0,1300.0,7800.0,30772.0,50264.0,36.7,0,712.0,10.0,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.175,3
78000.0,25000.0,29.49,818.85,34.69,0.0,1.0,10.0,23.0,64446.0,67.2,0.0,0.0,1.0,0.0,3.0,46.0,16.0,66.7,95913.0,0.0,51900.0,52586.0,9591.0,69.1,1,742.0,6.0,6,29,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.3205128205128205,4
100000.0,14000.0,13.98,478.36,16.32,0.0,3.0,9.0,38.0,7754.0,52.0,1.0,1.0,1.0,0.0,0.0,2.0,18.0,0.0,49441.0,0.0,14900.0,49320.0,5493.0,52.0,0,697.0,3.0,3,13,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.14,3
53266.0,14125.0,14.99,489.58,3.09,0.0,0.0,4.0,11.0,3734.0,95.7,0.0,0.0,2.0,0.0,4.0,25.0,5.0,100.0,124021.0,0.0,3900.0,0.0,31005.0,95.7,0,712.0,6.0,3,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.2651785379041039,3
